17.526283,0.506,34.2,0.545,19.83,3.043,,,
12.4,0.734,57.9,0.436,118.00,2.1006,,,
8.1,0.943,30,0.039,100.50,1.479,,,
2.5,0.955,33.1,0.025,85.50,1.366,,,
2.5,0.563,37.5,0.482,78.89,3.539,,,
9.461,0.661,34,0.314,104.33,2.188,,,
9.461,0.524,40.5,0.556,66.50,1.85,,,
25,0.772,34.9,0.359,43.17,2.245,,,
9.3,0.599,28.7,0.346,118.00,1.863,,,
30.9,0.51,43.1,0.573,118.00,2.201,,,
20.7,0.723,37.6,0.354,118.00,2.1006,,,
9.461,0.795,40.3,0.323,118.00,2.078,,,
5.5,0.738,32.8,0.296,118.00,2.09,,,
2.5,0.817,41.9,0.306,66.00,2.959,,,
2.5,0.71,40.8,0.346,78.89,2.276,,,
9.461,0.717,39.1,0.346,78.89,2.1006,,,
9.461,0.538,42.8,0.535,42.17,2.202,,,
9.461,0.774,26.6,0.234,76.17,2.927,,,
3.5,0.889,26,0.079,118.00,1.752,,,
3.1,0.928,35.1,0.118,90.83,1.77,,,
2.5,0.925,41.4,0.204,78.89,2.307,,,
4.5670097,0.816,39.7,0.288,79.67,1.704,,,
2.5,0.717,35.3,0.288,118.00,2.158,,,
2.6,0.603,37.6,0.346,73.00,2.1006,,,
9.8,0.733,44.8,0.479,118.00,2.936,,,
31.4,0.7,35.7,0.296,50.17,1.92,,,
8.9,0.468,36.7,0.795,59.33,3.411,,,
9.461,0.582,57.1,0.539,63.33,1.794,,,
9.461,0.569,50.3,0.527,6.17,2.485,,,
