29.9,0.509,38.2896,0.655,16.00,3.644,13.2,27.8,0.39
3.6,0.792,33.2,0.181,118.00,1.872,13.3,26.9,0.54
2.8,0.746,27.6,0.429,105.17,2.287,13.7,25.7,0.63
9.461,0.867,38.2896,0.346,78.89,2.1006,13.3,24.7,0.62
18.6,0.582,51.3,0.536,32.33,2.087,13.2,22.9,0.54
9.461,0.772,38.2896,0.346,118.00,2.1006,12.6,21,0.68
3.8,0.842,42.9,0.328,60.00,1.978,11.8,20.3,0.64
2.6,0.771,29.9,0.245,98.17,2.135,10.9,19.1,0.67
2.5,0.943,34.4,0.097,28.00,1.386,10.3,18.4,0.55
2.5,0.921,30.8,0.069,56.83,1.275,10.2,17.6,0.66
2.5,0.754,26.6,0.323,118.00,2.3,9.6,16,0.72
9.461,0.812,38.2896,0.341,6.50,2.1006,9.1,13.9,0.61
9.461,0.852,38.2896,0.212,118.00,2.209,9.2,12.9,0.65
13,0.625,32.4,0.537,23.50,2.121,9,11.4,0.68
4.3,0.81,38.2896,0.252,118.00,2.1006,8.6,10.7,0.75
2.5,0.823,25.3,0.118,118.00,2.111,8.9,10.1,0.9
2.5,0.93,27.2,0.043,66.00,1.496,8.8,9.7,1.02
7.6,0.714,53.3,0.415,118.00,2.1006,8.7,9.3,0.93
7.4,0.541,47.8,0.612,118.00,2.182,8.9,,0.85
9.461,0.649,37.4,0.421,118.00,1.501,8.9,,0.98
15.5,0.714,41.6,0.417,19.67,2.074,,,1.02
2.5,0.777,33,0.149,57.83,2.04,,,
24.1,0.73,53.3,0.465,99.83,1.693,,,
2.5,0.762,53.4,0.408,33.67,2.413,,,
2.5,0.836,38.2896,0.255,118.00,2.1006,,,
3,0.813,41.3,0.206,101.00,1.628,,,
19.2,0.443,35.3,0.594,118.00,2.316,,,
9.461,0.431,38.6,0.504,61.83,2.506,,,
19.9,0.534,41.5,0.638,111.67,2.169,,,
18.5,0.663,42.4,0.397,118.00,2.1006,,,
14.5,0.585,38.2896,0.474,75.83,2.011,,,
6.3,0.56,46.6,0.560,67.33,2.65,,,
2.5,0.928,33.3,0.080,65.67,1.298,,,
9.461,0.395,56.2,0.680,67.50,3.237,,,
39.6,0.397,43.3,0.710,118.00,2.538,,,
3.5,0.849,44.4,0.247,33.00,1.804,,,
2.5,0.755,38.5,0.168,42.83,2.166,,,
5.5,0.764,51.3,0.428,36.33,2.646,,,
9.461,0.552,45.3,0.346,25.33,2.1006,,,
28,0.573,48.9,0.570,97.17,2.343,,,
3.2,0.808,48.2,0.288,118.00,1.691,,,
2.5,0.848,29.7,0.116,75.17,1.615,,,
2.5,0.781,38.2896,0.304,78.89,2.074,,,
6.8,0.885,32.7,0.086,118.00,1.92,,,
2.5,0.898,25,0.136,92.83,1.337,,,
2.5,0.478,42.1,0.617,58.67,3.243,,,
2.5,0.939,28.2,0.038,75.50,1.283,,,
9.461,0.518,41.6,0.346,73.00,2.215,,,
5.8,0.738,38.2896,0.346,77.67,2.1006,,,
5.5,0.751,41.9,0.455,118.00,1.992,,,
8.8,0.762,45.7,0.384,103.83,2.085,,,
4.7,0.701,31.5,0.449,102.00,2.481,,,
8.9,0.67,38.8,0.383,91.83,2.243,,,
9.461,0.582,38.2896,0.346,78.89,1.891,,,
9.461,0.456,38.2896,0.346,118.00,2.567,,,
2.5,0.889,30.3,0.086,75.67,1.68,,,
16.9,0.605,54.6,0.567,118.00,1.934,,,
19.7,0.478,35,0.517,69.33,2.526,,,
3.9,0.742,36.7,0.370,73.00,2.1006,,,
2.5,0.937,27.3,0.047,97.83,1.404,,,
2.5,0.898,32.4,0.049,52.50,1.93,,,
16.6,0.697,38,0.525,118.00,2.116,,,
11.9,0.487,35.9,0.612,53.17,1.891,,,
8.2,0.805,35.9,0.331,93.17,2.116,,,
2.5,0.946,31.9,0.084,61.33,1.494,,,
6.5,0.606,43.5,0.538,53.33,1.776,,,
2.5,0.881,32.9,0.116,45.00,1.877,,,
9.461,0.773,38.2896,0.346,118.00,2.1006,,,
16.1,0.657,48.3,0.479,65.67,2.267,,,
9.461,0.473,33.7,0.346,99.17,2.082,,,
9.461,0.472,50.7,0.346,118.00,2.157,,,
5.7,0.68,45.1,0.462,118.00,2.05,,,
48.2,0.508,41.1,0.636,58.33,2.211,,,
9.461,0.717,38.2896,0.346,78.89,2.1006,,,
13.8,0.633,48.2,0.423,73.33,2.288,,,
2.5,0.85,29.6,0.233,85.83,1.559,,,
2.5,0.946,26.1,0.058,88.83,1.078,,,
14,0.642,35.7,0.488,16.67,2.628,,,
9,0.712,38.2,0.480,24.83,1.831,,,
4.7,0.785,42,0.459,27.00,2.672,,,
23.7,0.671,29.5,0.577,84.33,3.487,,,
2.5,0.951,31.4,0.093,104.50,1.375,,,
2.5,0.916,39,0.109,108.83,2.775,,,
2.5,0.89,35.9,0.069,43.50,1.69,,,
8.7,0.734,45.5,0.396,118.00,2.041,,,
2.5,0.917,32.9,0.094,14.50,1.36,,,
8.5,0.728,33.7,0.450,118.00,1.958,,,
2.5,0.819,27.8,0.190,118.00,1.948,,,
23,0.599,40.8,0.518,33.00,2.375,,,
3,0.628,37,0.346,118.00,2.1006,,,
2.5,0.807,38.2896,0.242,118.00,1.723,,,
6.4,0.696,29.7,0.369,118.00,2.094,,,
9.461,0.609,38.8,0.459,55.17,1.843,,,
2.5,0.863,35.1,0.176,86.83,1.7,,,
5.7,0.747,31.8,0.411,54.67,2.828,,,
32.6,0.522,44.9,0.553,64.67,2.131,,,
37.5,0.48,35.3,0.650,89.50,1.877,,,
9.461,0.721,38.2896,0.252,73.67,3.258,,,
9.461,0.919,38.2896,0.346,78.89,2.1006,,,
2.5,0.876,35.7,0.124,118.00,1.705,,,
2.5,0.913,35.4,0.065,72.83,2.1006,,,
41.7,0.527,42.6,0.346,40.33,1.905,,,
18.8,0.478,44.7,0.565,15.17,1.885,,,
